RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
24,Cooper Kupp,RB,0.0,0.0,0.0,,198.9,2.7,100.9,1281.8,8.0,313.0,18.4
25,Ja'Marr Chase,WR,0.0,0.0,0.0,,37.9,0.3,112.8,1427.0,8.6,312.7,18.4
26,Jordan Love ,QB,3768.8,22.8,14.9,,248.7,2.2,0.0,0.0,0.0,310.7,18.3
27,Matthew Stafford,QB,3854.0,25.7,10.6,,59.4,1.1,0.0,0.0,0.0,310.3,18.3
28,Travis Kelce ,TE,0.0,0.0,0.0,,4.3,0.0,119.8,1361.5,8.6,307.8,18.1
29,Mac Jones,QB,3780.7,23.4,13.7,,183.2,1.7,0.0,0.0,0.0,306.2,18.0
30,Joe Mixon,RB,0.0,0.0,0.0,,1149.2,8.3,62.2,524.0,2.2,291.8,17.2
31,Josh Jacobs ,RB,0.0,0.0,0.0,,1443.2,10.6,39.4,319.1,1.4,285.5,16.8
32,C.J. Stroud ,QB,3612.4,21.4,16.0,,172.9,1.7,0.0,0.0,0.0,284.8,16.8
33,Bryce Young ,QB,3616.3,20.2,15.7,,207.1,2.0,0.0,0.0,0.0,283.3,16.7
34,Justin Jefferson ,WR,0.0,0.0,0.0,,18.9,0.1,101.2,1336.0,7.7,283.3,16.7
35,Kenny Pickett ,QB,3490.3,17.9,14.8,,304.0,2.9,0.0,0.0,0.0,279.9,16.5
36,Derrick Henry,RB,0.0,0.0,0.0,,1435.8,9.3,36.4,345.4,1.4,277.4,16.3
37,Amon-Ra St. Brown ,WR,0.0,0.0,0.0,,44.3,0.4,105.0,1266.6,6.3,276.1,16.2
38,Tony Pollard ,RB,0.0,0.0,0.0,,1075.5,7.3,53.2,473.5,2.1,264.4,15.6
39,Jimmy Garoppolo,QB,3286.7,21.5,11.4,,86.5,1.1,0.0,0.0,0.0,264.2,15.5
40,Stefon Diggs ,WR,0.0,0.0,0.0,,5.3,0.0,89.0,1252.0,7.7,261.2,15.4
41,Aaron Jones ,RB,0.0,0.0,0.0,,1018.1,6.7,55.3,487.9,2.7,261.1,15.4
42,Saquon Barkley ,RB,0.0,0.0,0.0,,1163.4,7.0,53.0,400.0,1.8,261.0,15.4
43,Nick Chubb,RB,0.0,0.0,0.0,,1304.8,8.5,31.4,272.7,1.6,248.4,14.6
44,Chris Olave ,WR,0.0,0.0,0.0,,0.9,0.0,89.6,1158.5,6.9,246.9,14.5
45,Jaylen Waddle ,WR,0.0,0.0,0.0,,78.0,0.2,77.9,1202.3,6.6,246.6,14.5
46,Davante Adams ,WR,0.0,0.0,0.0,,8.1,0.0,80.1,1129.3,8.1,242.3,14.3
47,Mike Evans,WR,0.0,0.0,0.0,,38.2,0.0,74.4,1195.1,7.3,241.5,14.2
48,Calvin Ridley ,WR,0.0,0.0,0.0,,5.9,0.0,88.5,1115.3,6.8,241.4,14.2
49,Baker Mayfield ,QB,3053.9,17.7,10.7,,152.9,1.3,0.0,0.0,0.0,240.7,14.2
50,Desmond Ridder,QB,2913.6,15.6,10.6,,279.3,2.1,0.0,0.0,0.0,240.0,14.1
51,Chris Godwin ,WR,0.0,0.0,0.0,,17.1,0.2,98.8,1103.2,4.5,239.2,14.1
52,Ryan Tannehill ,QB,2843.5,18.2,8.8,,152.4,1.4,0.0,0.0,0.0,238.1,14.0
53,Jonathan Taylor,RB,0.0,0.0,0.0,,1189.0,8.5,39.1,247.6,1.2,236.5,13.9
54,Deebo Samuel ,WR,0.0,0.0,0.0,,331.0,1.4,77.9,919.3,4.4,235.6,13.9
55,James Conner ,RB,0.0,0.0,0.0,,1040.8,7.1,42.5,330.5,1.7,231.7,13.6
56,Terry McLaurin,WR,0.0,0.0,0.0,,25.3,0.0,74.0,1113.0,7.0,229.9,13.5
57,Tee Higgins,TE,0.0,0.0,0.0,,2.8,0.0,77.0,1125.8,6.6,229.4,13.5
58,Alexander Mattison,RB,0.0,0.0,0.0,,1113.1,9.1,34.6,229.0,1.3,228.8,13.5
59,Anthony Richardson,QB,2939.8,16.6,12.8,,145.0,1.5,0.0,0.0,0.0,227.8,13.4
60,Amari Cooper,WR,0.0,0.0,0.0,,2.7,0.0,70.3,1099.2,7.6,226.2,13.3
61,Bijan Robinson,RB,0.0,0.0,0.0,,1113.5,9.4,29.0,230.2,1.4,226.1,13.3
62,DeVonta Smith ,WR,0.0,0.0,0.0,,0.8,0.0,80.2,1040.3,6.2,221.5,13.0
63,Travis Etienne ,RB,0.0,0.0,0.0,,1124.6,8.2,33.4,245.7,1.0,221.3,13.0
64,Najee Harris,RB,0.0,0.0,0.0,,1090.3,7.2,32.6,271.3,1.7,221.1,13.0
65,Mike Williams ,WR,0.0,0.0,0.0,,2.2,0.0,79.5,1052.1,5.7,219.3,12.9
66,Javonte Williams ,RB,0.0,0.0,0.0,,982.0,6.1,44.3,340.1,1.5,219.0,12.9
67,Rachaad White,RB,0.0,0.0,0.0,,849.8,5.3,52.1,405.2,2.0,218.7,12.9
68,Keenan Allen,WR,0.0,0.0,0.0,,8.8,0.1,84.7,958.6,6.1,218.3,12.8
69,A.J. Brown ,WR,0.0,0.0,0.0,,3.0,0.0,69.3,1085.6,6.7,218.2,12.8
70,DK Metcalf,WR,0.0,0.0,0.0,,1.8,0.0,80.0,1002.0,6.3,218.1,12.8
71,Christian Kirk,WR,0.0,0.0,0.0,,24.0,0.1,79.9,959.9,6.4,217.6,12.8
72,Christian Watson,WR,0.0,0.0,0.0,,65.2,0.4,70.9,962.3,6.8,216.5,12.7
73,DeAndre Hopkins,WR,0.0,0.0,0.0,,2.0,0.0,75.6,986.0,6.3,212.2,12.5
74,Michael Thomas,WR,0.0,0.0,0.0,,6.2,0.0,77.4,936.5,6.4,210.4,12.4
75,Jerry Jeudy ,WR,0.0,0.0,0.0,,26.1,0.0,68.0,1015.1,6.3,209.9,12.3
76,Garrett Wilson,WR,0.0,0.0,0.0,,6.2,0.0,76.4,998.4,5.5,209.9,12.3
77,Michael Pittman ,WR,0.0,0.0,0.0,,23.4,0.1,79.2,902.9,5.7,206.9,12.2
78,Drake London,WR,0.0,0.0,0.0,,0.8,0.0,75.4,950.7,5.8,205.5,12.1
79,Kenneth Walker III ,RB,0.0,0.0,0.0,,1071.3,7.9,26.3,187.1,0.9,205.0,12.1
80,Isiah Pacheco ,RB,0.0,0.0,0.0,,1062.7,7.6,27.5,241.7,0.9,204.6,12.0
81,Dameon Pierce ,RB,0.0,0.0,0.0,,1009.4,7.2,31.4,256.1,1.3,204.4,12.0
82,James Cook ,RB,0.0,0.0,0.0,,866.6,5.7,38.6,309.7,1.9,199.1,11.7
83,Kyler Murray ,QB,2050.0,12.7,6.5,,329.3,2.3,0.0,0.0,0.0,198.5,11.7
84,Mark Andrews,TE,0.0,0.0,0.0,,23.7,0.1,76.4,881.2,5.1,198.0,11.6
85,Darren Waller ,TE,0.0,0.0,0.0,,2.2,0.0,67.8,934.6,6.1,197.9,11.6
86,JuJu Smith-Schuster ,WR,0.0,0.0,0.0,,2.2,0.0,79.0,902.2,4.7,197.8,11.6
87,Jahan Dotson ,WR,0.0,0.0,0.0,,13.3,0.0,58.5,974.9,6.5,196.6,11.6
88,Rhamondre Svenson,RB,0.0,0.0,0.0,,709.5,5.1,46.1,432.4,0.9,195.3,11.5
89,Tyler Lockett,WR,0.0,0.0,0.0,,2.3,0.0,68.6,884.2,6.1,193.9,11.4
90,Brandon Aiyuk ,WR,0.0,0.0,0.0,,3.0,0.0,60.4,1008.8,5.3,193.7,11.4
91,T.J. Hockenson ,TE,0.0,0.0,0.0,,1.5,0.0,80.9,817.3,4.9,192.4,11.3
92,Dallas Goedert,TE,0.0,0.0,0.0,,0.8,0.0,74.2,882.5,4.8,191.5,11.3
93,Diontae Johnson ,WR,0.0,0.0,0.0,,26.1,0.1,72.5,898.0,4.4,191.2,11.2
94,Alvin Kamara ,RB,0.0,0.0,0.0,,720.9,4.1,45.9,360.4,1.9,189.2,11.1
95,Kadarius Toney ,WR,0.0,0.0,0.0,,178.4,1.8,67.6,686.8,4.1,188.9,11.1
96,D'Andre Swift ,RB,0.0,0.0,0.0,,533.7,4.5,51.1,474.5,1.6,187.7,11.0
97,Gabe Davis ,WR,0.0,0.0,0.0,,4.4,0.0,54.3,919.9,6.6,186.1,10.9
98,George Kittle ,TE,0.0,0.0,0.0,,8.6,0.1,59.1,853.6,6.7,185.7,10.9
99,Cam Akers ,RB,0.0,0.0,0.0,,1013.3,6.9,24.5,186.1,0.9,185.6,10.9
100,Jeff Wilson ,RB,0.0,0.0,0.0,,831.9,6.5,31.0,258.9,1.5,184.5,10.9
101,DJ Moore ,WR,0.0,0.0,0.0,,27.9,0.2,53.3,860.2,6.5,182.1,10.7
102,David Montgomery,RB,0.0,0.0,0.0,,795.6,5.6,33.4,287.8,1.3,181.4,10.7
103,Rondale Moore ,WR,0.0,0.0,0.0,,43.5,0.1,74.0,795.7,3.7,180.6,10.6
104,Brian Robinson ,RB,0.0,0.0,0.0,,1065.5,6.4,16.2,127.5,0.7,178.6,10.5
105,DeVante Parker ,WR,0.0,0.0,0.0,,0.9,0.0,52.8,899.0,5.9,178.4,10.5
106,Sam Howell ,QB,2090.1,10.6,8.6,,250.0,2.3,0.0,0.0,0.0,177.3,10.4
107,Marquise Brown ,WR,0.0,0.0,0.0,,11.7,0.0,69.4,796.6,4.3,176.5,10.4
108,Jakobi Meyers,WR,0.0,0.0,0.0,,12.9,0.1,65.8,805.6,4.7,176.2,10.4
109,Zay Jones,WR,0.0,0.0,0.0,,10.3,0.1,67.9,757.1,5.0,175.1,10.3
110,Tyler Boyd,WR,0.0,0.0,0.0,,3.1,0.0,64.2,857.2,4.0,174.4,10.3
111,Jahmyr Gibbs ,RB,0.0,0.0,0.0,,697.3,6.2,37.0,249.9,1.1,174.1,10.2
