RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
107,Jakobi Meyers,WR,0.0,0.0,0.0,2.0,-5.0,0.0,57.0,732.0,5.0,158.1,9.3
108,Evan Engram,TE,0.0,0.0,0.0,0.0,0.0,0.0,64.0,665.0,4.0,157.6,9.3
109,Romeo Doubs,WR,0.0,0.0,0.0,1.0,13.0,0.0,59.0,665.0,5.0,156.6,9.2
110,Isiah Pacheco,RB,0.0,0.0,0.0,169.0,834.0,5.0,23.0,239.0,0.0,156.1,9.2
111,Michael Pittman,WR,0.0,0.0,0.0,3.0,31.0,0.0,67.0,689.0,3.0,155.3,9.1
112,Gabe Davis,WR,0.0,0.0,0.0,0.0,0.0,0.0,42.0,743.0,7.0,155.1,9.1
113,Kyle Pitts,TE,0.0,0.0,0.0,0.0,0.0,0.0,54.0,773.0,4.0,154.5,9.1
114,Nico Collins,WR,0.0,0.0,0.0,0.0,0.0,0.0,55.0,754.0,4.0,153.8,9.0
115,Allen Lazard,WR,0.0,0.0,0.0,2.0,6.0,0.0,51.0,733.0,4.0,151.4,8.9
116,James Cook,RB,0.0,0.0,0.0,172.0,883.0,4.0,21.0,178.0,1.0,150.7,8.9
117,David Njoku,TE,0.0,0.0,0.0,0.0,0.0,0.0,58.0,655.0,5.0,150.6,8.9
118,Courtland Sutton,WR,0.0,0.0,0.0,1.0,4.0,0.0,55.0,745.0,3.0,149.4,8.8
119,Tyler Boyd,WR,0.0,0.0,0.0,1.0,8.0,0.0,54.0,690.0,4.0,149.3,8.8
120,Pat Freiermuth,TE,0.0,0.0,0.0,0.0,0.0,0.0,59.0,678.0,4.0,149.3,8.8
121,Rondale Moore,WR,0.0,0.0,0.0,21.0,114.0,0.0,65.0,620.0,2.0,148.8,8.8
