RANK,PLAYER,Position,Passing_Yards,Passing_Touchdowns,Passing_INT,Rushing_Carry,Rushing_Yards,Rushing_Touchdowns,Receiving_Receptions,Receiving_Yards,Receiving_Touchdowns,Fantasy_Pts_Total,Fantasy_Pts_Average
28,CeeDee Lamb,WR,0.0,0.0,0.0,10.0,59.0,0.0,97.0,1211.0,6.0,264.0,17.6
29,Derrick Henry,RB,0.0,0.0,0.0,317.0,1367.0,9.0,32.0,285.0,1.0,256.5,18.3
30,Bijan Robinson,RB,0.0,0.0,0.0,247.0,1126.0,8.0,50.0,374.0,2.0,256.0,18.3
31,Sauon Barkley,RB,0.0,0.0,0.0,235.0,1006.0,8.0,54.0,430.0,2.0,253.9,18.1
32,Garrett Wilson,WR,0.0,0.0,0.0,4.0,24.0,0.0,83.0,1133.0,9.0,250.7,16.7
33,Josh Jacobs,RB,0.0,0.0,0.0,259.0,1159.0,9.0,42.0,309.0,1.0,249.6,17.8
34,Tony Pollard,RB,0.0,0.0,0.0,245.0,1165.0,8.0,39.0,317.0,2.0,244.7,17.5
35,Amon-Ra St. Brown,WR,0.0,0.0,0.0,9.0,64.0,1.0,95.0,1045.0,6.0,242.6,16.2
36,Nick Chubb,RB,0.0,0.0,0.0,262.0,1238.0,9.0,30.0,274.0,1.0,238.2,17.0
37,Jaylen Waddle,WR,0.0,0.0,0.0,4.0,25.0,0.0,83.0,1085.0,6.0,230.9,15.4
38,Jonathan Taylor,RB,0.0,0.0,0.0,268.0,1222.0,8.0,32.0,253.0,1.0,229.4,17.6
39,Tee Higgins,WR,0.0,0.0,0.0,0.0,0.0,0.0,81.0,1048.0,7.0,228.3,15.2
40,DK Metcalf,WR,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1017.0,8.0,228.0,15.2
41,A.J. Brown,WR,0.0,0.0,0.0,0.0,0.0,0.0,74.0,1128.0,7.0,227.6,15.2
42,Joe Mixon,RB,0.0,0.0,0.0,202.0,828.0,7.0,49.0,353.0,3.0,226.4,16.2
43,Aaron Jones,RB,0.0,0.0,0.0,189.0,935.0,4.0,52.0,403.0,3.0,223.0,15.9
44,DeVonta Smith,WR,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1013.0,7.0,219.0,14.6
45,Keenan Allen,WR,0.0,0.0,0.0,0.0,0.0,0.0,88.0,923.0,6.0,215.8,14.4
46,Deebo Samuel,WR,0.0,0.0,0.0,44.0,247.0,2.0,61.0,874.0,5.0,215.2,15.4
47,Najee Harris,RB,0.0,0.0,0.0,243.0,963.0,6.0,43.0,274.0,2.0,215.1,15.4
48,Travis Etienne Jr.,RB,0.0,0.0,0.0,215.0,978.0,6.0,40.0,322.0,2.0,215.0,15.4
49,Jahmyr Gibbs,RB,0.0,0.0,0.0,167.0,743.0,7.0,48.0,381.0,2.0,211.6,15.1
50,Chris Olave,WR,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1073.0,5.0,210.9,14.1
51,Christian Watson,WR,0.0,0.0,0.0,9.0,59.0,0.0,67.0,983.0,6.0,208.6,13.9
52,Amari Cooper,WR,0.0,0.0,0.0,0.0,0.0,0.0,71.0,965.0,7.0,208.3,13.9
53,Jerry Jeudy,WR,0.0,0.0,0.0,2.0,14.0,0.0,69.0,1042.0,6.0,208.1,13.9
54,Rhamondre Stevenson,RB,0.0,0.0,0.0,194.0,860.0,5.0,49.0,342.0,1.0,206.6,14.8
55,Mark Andrews,TE,0.0,0.0,0.0,5.0,18.0,0.0,73.0,866.0,7.0,205.8,13.7
56,Mike Evans,WR,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1038.0,5.0,205.1,13.7
57,DeAndre Hopkins,WR,0.0,0.0,0.0,0.0,0.0,0.0,85.0,976.0,4.0,204.7,13.6
58,Diontae Johnson,WR,0.0,0.0,0.0,5.0,28.0,0.0,78.0,960.0,5.0,204.7,13.6
59,James Conner,RB,0.0,0.0,0.0,203.0,868.0,7.0,43.0,294.0,1.0,203.4,15.6
60,DJ Moore,WR,0.0,0.0,0.0,9.0,57.0,0.0,64.0,928.0,7.0,203.1,13.5
61,Miles Sanders,RB,0.0,0.0,0.0,216.0,1012.0,6.0,36.0,298.0,1.0,203.0,14.5
62,Chris Godwin,WR,0.0,0.0,0.0,4.0,24.0,0.0,88.0,966.0,3.0,203.0,14.5
63,Dameon Pierce,RB,0.0,0.0,0.0,227.0,966.0,6.0,37.0,268.0,1.0,202.8,14.5
64,Calvin Ridley,WR,0.0,0.0,0.0,4.0,25.0,0.0,74.0,918.0,6.0,202.5,14.5
65,Rachaad White,RB,0.0,0.0,0.0,217.0,908.0,5.0,44.0,293.0,1.0,201.9,14.4
66,Mike Williams,WR,0.0,0.0,0.0,0.0,0.0,0.0,68.0,931.0,7.0,201.0,13.4
67,Alexander Mattison,RB,0.0,0.0,0.0,212.0,879.0,8.0,35.0,248.0,1.0,199.4,14.2
68,Breece Hall,RB,0.0,0.0,0.0,173.0,767.0,5.0,43.0,376.0,2.0,199.1,14.2
69,Terry McLaurin,WR,0.0,0.0,0.0,4.0,25.0,0.0,74.0,997.0,4.0,198.7,13.2
70,Cam Akers,RB,0.0,0.0,0.0,211.0,872.0,7.0,33.0,280.0,2.0,198.4,14.2
71,Kenneth Walker III,RB,0.0,0.0,0.0,220.0,968.0,7.0,30.0,214.0,1.0,198.2,14.2
72,Tyler Lockett,WR,0.0,0.0,0.0,0.0,0.0,0.0,81.0,876.0,5.0,197.1,13.1
73,Alvin Kamara,RB,0.0,0.0,0.0,157.0,666.0,4.0,49.0,449.0,2.0,196.4,17.9
74,Maruise Brown,WR,0.0,0.0,0.0,0.0,0.0,0.0,75.0,971.0,4.0,194.9,13.0
75,Drake London,WR,0.0,0.0,0.0,0.0,0.0,0.0,75.0,909.0,5.0,193.7,12.9
76,James Cook,RB,0.0,0.0,0.0,172.0,768.0,5.0,44.0,342.0,2.0,193.4,13.8
77,David Montgomery,RB,0.0,0.0,0.0,190.0,779.0,8.0,36.0,278.0,1.0,193.4,13.8
78,T.J. Hockenson,WR,0.0,0.0,0.0,0.0,0.0,0.0,75.0,847.0,5.0,192.6,12.8
79,Isiah Pacheco,RB,0.0,0.0,0.0,200.0,903.0,7.0,30.0,235.0,1.0,192.5,13.8
80,Brandin Cooks,WR,0.0,0.0,0.0,5.0,31.0,0.0,68.0,874.0,5.0,189.6,12.6
81,Christian Kirk,WR,0.0,0.0,0.0,4.0,26.0,0.0,71.0,827.0,6.0,189.3,12.6
82,Javonte Williams,RB,0.0,0.0,0.0,174.0,754.0,6.0,41.0,296.0,2.0,188.2,14.5
83,Brandon Aiyuk,WR,0.0,0.0,0.0,2.0,16.0,0.0,67.0,855.0,6.0,187.2,12.5
